id,prompt_en,prompt_zh,prompt_ms,prompt_ta,explanation_en,explanation_zh,explanation_ms,explanation_ta
37,I am experiencing shortness of breath or wheezing.,我感到呼吸急促或喘息。,Saya mengalami sesak nafas atau berdehit.,மூச்சுத்திணறல் அல்லது மூச்சுவிடுதல் சிரமம் அனுபவிக்கிறேன்.,"Shortness of breath or wheezing can indicate lung cancer, especially if it's new or worsening.",呼吸急促或喘息可能表明肺癌，特别是如果是新出现或恶化的。,"Sesak nafas atau berdehit boleh menunjukkan kanser paru-paru, terutamanya jika ia baru atau semakin teruk.","மூச்சுத்திணறல் அல்லது மூச்சுவிடுதல் சிரமம் நுரையீரல் புற்றுநோயை குறிக்கலாம், குறிப்பாக புதிதாக அல்லது மோசமடைந்தால்."
38,I am a current smoker or have smoked in the past (including e-cigarettes/vaping).,我目前是吸烟者或曾经吸烟（包括电子烟）。,Saya seorang perokok semasa atau pernah merokok pada masa lalu (termasuk rokok elektronik/vaping).,நான் தற்போது புகைபிடிப்பவன் அல்லது கடந்தகாலத்தில் புகைபித்தேன் (மின்-சிகரெட்/வேப்பிங் உட்பட).,Smoking is the number one risk factor for lung cancer. Smokers are 15-30 times more likely to develop lung cancer than non-smokers.,吸烟是肺癌的头号风险因素。吸烟者患肺癌的可能性是不吸烟者的15-30倍。,Merokok adalah faktor risiko nombor satu untuk kanser paru-paru. Perokok 15-30 kali lebih berkemungkinan menghidap kanser paru-paru berbanding bukan perokok.,புகைபிடித்தல் நுரையீரல் புற்றுநோய்க்கான முதல் ஆபத்து காரணி. புகைபிடிப்பவர்களுக்கு நுரையீரல் புற்றுநோய் வருவதற்கான வாய்ப்பு புகைபிடிக்காதவர்களை விட 15-30 மடங்கு அதிகம்.
39,I live or work with someone who smokes regularly.,我与经常吸烟的人一起生活或工作。,Saya tinggal atau bekerja dengan seseorang yang merokok secara kerap.,நான் வழக்கமாக புகைபிடிக்கும் ஒருவருடன் வாழ்கிறேன் அல்லது வேலை செய்கிறேன்.,Secondhand smoke exposure increases lung cancer risk by 20-30%. Even non-smokers can develop lung cancer from prolonged exposure.,接触二手烟会使肺癌风险增加20-30%。即使是不吸烟者也可能因长期接触而患肺癌。,Pendedahan asap rokok terpakai meningkatkan risiko kanser paru-paru sebanyak 20-30%. Walaupun bukan perokok boleh menghidap kanser paru-paru daripada pendedahan berpanjangan.,இரண்டாம் நிலை புகை வெளிப்பாடு நுரையீரல் புற்றுநோய் ஆபத்தை 20-30% அதிகரிக்கிறது. புகைபிடிக்காதவர்களும் நீண்டகால வெளிப்பாட்டால் நுரையீரல் புற்றுநோயை உருவாக்கலாம்.
40,"I have been exposed to asbestos, radon, or other workplace carcinogens.",我曾接触石棉、氡或其他工作场所致癌物质。,"Saya pernah terdedah kepada asbestos, radon, atau karsinogen tempat kerja lain.","அஸ்பெஸ்டாஸ், ரேடான் அல்லது பிற பணியிட புற்றுநோய் காரணிகளுக்கு வெளிப்பட்டேன்.","Occupational exposure to asbestos, radon, and certain chemicals significantly increases lung cancer risk.",职业接触石棉、氡和某些化学物质会显著增加肺癌风险。,"Pendedahan pekerjaan kepada asbestos, radon, dan bahan kimia tertentu meningkatkan risiko kanser paru-paru dengan ketara.","அஸ்பெஸ்டாஸ், ரேடான் மற்றும் சில இரசாயனங்களுக்கு தொழில்சார் வெளிப்பாடு நுரையீரல் புற்றுநோய் ஆபத்தை கணிசமாக அதிகரிக்கிறது."
41,I have a family member who had lung cancer.,我有家庭成员患过肺癌。,Saya mempunyai ahli keluarga yang menghidap kanser paru-paru.,எனக்கு நுரையீரல் புற்றுநோய் இருந்த குடும்ப உறுப்பினர் உள்ளார்.,"Family history of lung cancer increases your risk, especially among Asian female non-smokers.",肺癌家族史会增加您的风险，特别是在亚洲不吸烟女性中。,"Sejarah keluarga kanser paru-paru meningkatkan risiko anda, terutamanya di kalangan wanita Asia bukan perokok.","நுரையீரல் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை அதிகரிக்கிறது, குறிப்பாக ஆசிய பெண் புகைபிடிக்காதவர்களிடையே."
42,I have noticed blood in my stool (bright red or very dark/black).,我发现大便中有血（鲜红色或非常深/黑色）。,Saya perasan darah dalam najis saya (merah terang atau sangat gelap/hitam).,என் மலத்தில் இரத்தம் (பிரகாசமான சிவப்பு அல்லது மிகவும் இருண்ட/கருப்பு) இருப்பதை கவனித்தேன்.,Blood in the stool is a key warning sign of colorectal cancer. See a doctor immediately for evaluation.,大便带血是结直肠癌的关键警告信号。立即去看医生进行评估。,Darah dalam najis adalah tanda amaran utama kanser kolorektal. Jumpa doktor dengan segera untuk penilaian.,மலத்தில் இரத்தம் பெருங்குடல் புற்றுநோயின் முக்கிய எச்சரிக்கை அறிகுறி. உடனடியாக மருத்துவரை சந்திக்கவும்.
43,"I have experienced a major change in bowel habits (diarrhea, constipation, or narrower stools) lasting more than a few days.",我的排便习惯发生了重大变化（腹泻、便秘或大便变细）持续超过几天。,"Saya mengalami perubahan besar dalam tabiat usus (cirit-birit, sembelit, atau najis lebih nipis) yang berlangsung lebih daripada beberapa hari.","என் குடல் பழக்கங்களில் பெரிய மாற்றம் (வயிற்றுப்போக்கு, மலச்சிக்கல் அல்லது மெல்லிய மலம்) சில நாட்களுக்கு மேல் தொடர்கிறது.",Persistent changes in bowel habits can indicate colorectal cancer and require medical evaluation.,排便习惯的持续变化可能表明结直肠癌，需要医疗评估。,Perubahan berterusan dalam tabiat usus boleh menunjukkan kanser kolorektal dan memerlukan penilaian perubatan.,குடல் பழக்கங்களில் தொடர்ச்சியான மாற்றங்கள் பெருங்குடல் புற்றுநோயை குறிக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.
44,I feel like my bowel doesn't empty completely after a bowel movement.,我感觉排便后肠道没有完全排空。,Saya rasa usus saya tidak dikosongkan sepenuhnya selepas buang air besar.,மலம் கழித்த பின்னும் என் குடல் முழுமையாக காலியாகவில்லை என்று உணர்கிறேன்.,A persistent feeling of incomplete bowel emptying can be a symptom of colorectal cancer.,持续的排便不完全感可能是结直肠癌的症状。,Perasaan berterusan pengosongan usus yang tidak lengkap boleh menjadi gejala kanser kolorektal.,முழுமையற்ற குடல் காலியாக்கத்தின் தொடர்ச்சியான உணர்வு பெருங்குடல் புற்றுநோயின் அறிகுறியாக இருக்கலாம்.
45,I have been diagnosed with colon polyps in the past.,我过去被诊断出患有结肠息肉。,Saya pernah didiagnosis dengan polip kolon pada masa lalu.,கடந்தகாலத்தில் பெருங்குடல் பாலிப்கள் இருப்பதாக கண்டறியப்பட்டது.,Previous colon polyps significantly increase your risk. Regular follow-up colonoscopies are critical for prevention.,以前的结肠息肉会显著增加您的风险。定期随访结肠镜检查对预防至关重要。,Polip kolon terdahulu meningkatkan risiko anda dengan ketara. Kolonoskopi susulan berkala adalah penting untuk pencegahan.,முந்தைய பெருங்குடல் பாலிப்கள் உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கின்றன. தொடர் கோலோனோஸ்கோபி தடுப்புக்கு முக்கியம்.
46,I have been diagnosed with inflammatory bowel disease (Crohn's disease or ulcerative colitis).,我被诊断出患有炎症性肠病（克罗恩病或溃疡性结肠炎）。,Saya telah didiagnosis dengan penyakit radang usus (penyakit Crohn atau kolitis ulseratif).,அழற்சி குடல் நோய் (குரோன் நோய் அல்லது அல்சரேட்டிவ் கோலிடிஸ்) இருப்பதாக கண்டறியப்பட்டது.,IBD significantly increases colorectal cancer risk. Regular screening and monitoring are essential.,IBD会显著增加结直肠癌风险。定期筛查和监测至关重要。,IBD meningkatkan risiko kanser kolorektal dengan ketara. Saringan dan pemantauan berkala adalah penting.,IBD பெருங்குடல் புற்றுநோய் ஆபத்தை கணிசமாக அதிகரிக்கிறது. வழக்கமான பரிசோதனை மற்றும் கண்காணிப்பு அவசியம்.
47,"A parent, sibling, or child has had colorectal cancer.",父母、兄弟姐妹或子女患过结直肠癌。,"Ibu bapa, adik-beradik, atau anak pernah menghidap kanser kolorektal.","பெற்றோர், சகோதரர் அல்லது குழந்தைக்கு பெருங்குடல் புற்றுநோய் இருந்தது.",Family history of colorectal cancer increases your risk. You may need to start screening earlier than age 50.,结直肠癌家族史会增加您的风险。您可能需要在50岁之前开始筛查。,Sejarah keluarga kanser kolorektal meningkatkan risiko anda. Anda mungkin perlu memulakan saringan lebih awal daripada umur 50 tahun.,பெருங்குடல் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை அதிகரிக்கிறது. நீங்கள் 50 வயதுக்கு முன் பரிசோதனையை தொடங்க வேண்டியிருக்கலாம்.
48,I am 50 years or older and have never had colorectal cancer screening (colonoscopy or FIT test).,我已经50岁或以上，从未进行过结直肠癌筛查（结肠镜检查或FIT测试）。,Saya berumur 50 tahun atau lebih dan tidak pernah menjalani saringan kanser kolorektal (kolonoskopi atau ujian FIT).,நான் 50 வயது அல்லது அதற்கு மேல் இருக்கிறேன் மற்றும் பெருங்குடல் புற்றுநோய் பரிசோதனை (கோலோனோஸ்கோபி அல்லது FIT சோதனை) செய்யவில்லை.,Colorectal cancer screening should begin at age 50. Free FIT kits are available from Singapore Cancer Society.,结直肠癌筛查应从50岁开始。新加坡癌症协会提供免费FIT套件。,Saringan kanser kolorektal perlu bermula pada umur 50 tahun. Kit FIT percuma tersedia dari Singapore Cancer Society.,பெருங்குடல் புற்றுநோய் பரிசோதனை 50 வயதில் தொடங்க வேண்டும். சிங்கப்பூர் புற்றுநோய் சங்கத்திலிருந்து இலவச FIT கருவிகள் கிடைக்கின்றன.
49,"I regularly eat processed meats (hot dogs, bacon, ham, sausages) or red meat.",我经常吃加工肉类（热狗、培根、火腿、香肠）或红肉。,"Saya kerap makan daging proses (hot dog, bacon, ham, sosej) atau daging merah.","பதப்படுத்தப்பட்ட இறைச்சிகள் (ஹாட் டாக், பேகன், ஹாம், தொத்திறைச்சி) அல்லது சிவப்பு இறைச்சியை வழக்கமாக சாப்பிடுகிறேன்.",High consumption of processed and red meats is strongly linked to increased colorectal cancer risk.,大量食用加工肉类和红肉与结直肠癌风险增加密切相关。,Pengambilan tinggi daging proses dan daging merah sangat dikaitkan dengan peningkatan risiko kanser kolorektal.,பதப்படுத்தப்பட்ட மற்றும் சிவப்பு இறைச்சிகளின் அதிக நுகர்வு பெருங்குடல் புற்றுநோய் ஆபத்து அதிகரிப்புடன் வலுவாக தொடர்புடையது.
50,"I rarely eat high-fiber foods like fruits, vegetables, and whole grains.",我很少吃高纤维食物，如水果、蔬菜和全谷物。,"Saya jarang makan makanan tinggi serat seperti buah-buahan, sayur-sayuran, dan bijirin penuh.","பழங்கள், காய்கறிகள் மற்றும் முழு தானியங்கள் போன்ற அதிக நார்ச்சத்து உணவுகளை அரிதாகவே சாப்பிடுகிறேன்.",A diet low in fiber increases colorectal cancer risk. Fiber is crucial for healthy colon function.,低纤维饮食会增加结直肠癌风险。纤维对健康的结肠功能至关重要。,Diet rendah serat meningkatkan risiko kanser kolorektal. Serat adalah penting untuk fungsi kolon yang sihat.,குறைந்த நார்ச்சத்து உணவு பெருங்குடல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது. ஆரோக்கியமான பெருங்குடல் செயல்பாட்டுக்கு நார்ச்சத்து முக்கியம்.
51,I have been experiencing persistent abdominal pain or cramping.,我一直感到持续的腹痛或痉挛。,Saya mengalami sakit perut atau kekejangan yang berterusan.,தொடர்ச்சியான வயிற்று வலி அல்லது பிடிப்பு அனுபவிக்கிறேன்.,Persistent abdominal discomfort can be a symptom of colorectal cancer and should be evaluated.,持续的腹部不适可能是结直肠癌的症状，应进行评估。,Ketidakselesaan perut yang berterusan boleh menjadi gejala kanser kolorektal dan perlu dinilai.,தொடர்ச்சியான வயிற்று அசௌகரியம் பெருங்குடல் புற்றுநோயின் அறிகுறியாக இருக்கலாம் மற்றும் மதிப்பீடு செய்யப்பட வேண்டும்.
52,I have been diagnosed with Hepatitis B or Hepatitis C infection.,我被诊断出感染了乙型或丙型肝炎。,Saya telah didiagnosis dengan jangkitan Hepatitis B atau Hepatitis C.,ஹெபடைடிஸ் பி அல்லது ஹெபடைடிஸ் சி தொற்று இருப்பதாக கண்டறியப்பட்டது.,Chronic Hepatitis B and C infections are major risk factors for liver cancer. Regular monitoring is essential.,慢性乙型和丙型肝炎感染是肝癌的主要风险因素。定期监测至关重要。,Jangkitan Hepatitis B dan C kronik adalah faktor risiko utama untuk kanser hati. Pemantauan berkala adalah penting.,நாள்பட்ட ஹெபடைடிஸ் பி மற்றும் சி தொற்றுகள் கல்லீரல் புற்றுநோய்க்கான முக்கிய ஆபத்து காரணிகள். வழக்கமான கண்காணிப்பு அவசியம்.
53,I have been diagnosed with liver cirrhosis or chronic liver disease.,我被诊断出患有肝硬化或慢性肝病。,Saya telah didiagnosis dengan sirosis hati atau penyakit hati kronik.,கல்லீரல் சிரோசிஸ் அல்லது நாள்பட்ட கல்லீரல் நோய் இருப்பதாக கண்டறியப்பட்டது.,Cirrhosis dramatically increases liver cancer risk. Regular screening with ultrasound and blood tests is crucial.,肝硬化会大大增加肝癌风险。定期超声波和血液检查筛查至关重要。,Sirosis meningkatkan risiko kanser hati dengan mendadak. Saringan berkala dengan ultrasound dan ujian darah adalah penting.,சிரோசிஸ் கல்லீரல் புற்றுநோய் ஆபத்தை வியத்தகு முறையில் அதிகரிக்கிறது. அல்ட்ராசவுண்ட் மற்றும் இரத்த பரிசோதனைகளுடன் வழக்கமான பரிசோதனை முக்கியம்.
54,I consume alcohol daily or heavily drink alcohol regularly.,我每天饮酒或经常大量饮酒。,Saya mengambil alkohol setiap hari atau minum alkohol banyak secara kerap.,தினமும் மது அருந்துகிறேன் அல்லது வழக்கமாக அதிகமாக மது அருந்துகிறேன்.,Heavy alcohol consumption can lead to cirrhosis and significantly increases liver cancer risk.,大量饮酒可导致肝硬化并显著增加肝癌风险。,Pengambilan alkohol yang banyak boleh menyebabkan sirosis dan meningkatkan risiko kanser hati dengan ketara.,அதிகமான மது நுகர்வு சிரோசிஸ் ஏற்பட்டு கல்லீரல் புற்றுநோய் ஆபத்தை கணிசமாக அதிகரிக்கிறது.
55,I have noticed yellowing of my skin or eyes (jaundice).,我注意到皮肤或眼睛发黄（黄疸）。,Saya perasan kulit atau mata saya menguning (jaundis).,என் தோல் அல்லது கண்கள் மஞ்சள் நிறமாக மாறுவதை (மஞ்சள் காமாலை) கவனித்தேன்.,Jaundice can be a sign of liver cancer or other serious liver problems. Seek immediate medical attention.,黄疸可能是肝癌或其他严重肝脏问题的征兆。立即就医。,Jaundis boleh menjadi tanda kanser hati atau masalah hati serius lain. Dapatkan perhatian perubatan segera.,மஞ்சள் காமாலை கல்லீரல் புற்றுநோய் அல்லது பிற தீவிர கல்லீரல் பிரச்சினைகளின் அறிகுறியாக இருக்கலாம். உடனடி மருத்துவ கவனம் பெறவும்.
56,I have persistent pain or swelling in the upper right side of my abdomen.,我腹部右上侧有持续的疼痛或肿胀。,Saya mengalami sakit atau bengkak berterusan di bahagian atas kanan perut saya.,என் வயிற்றின் மேல் வலது பக்கத்தில் தொடர்ச்சியான வலி அல்லது வீக்கம் உள்ளது.,Pain or swelling in the upper right abdomen can indicate liver problems including liver cancer.,右上腹疼痛或肿胀可能表明肝脏问题，包括肝癌。,Sakit atau bengkak di bahagian atas kanan perut boleh menunjukkan masalah hati termasuk kanser hati.,மேல் வலது வயிற்றில் வலி அல்லது வீக்கம் கல்லீரல் புற்றுநோய் உட்பட கல்லீரல் பிரச்சினைகளை குறிக்கலாம்.
57,I have been experiencing loss of appetite and unexplained weight loss.,我一直食欲不振并出现不明原因的体重减轻。,Saya mengalami kehilangan selera makan dan penurunan berat badan yang tidak dapat dijelaskan.,பசியின்மை மற்றும் விளக்கமற்ற எடை குறைப்பு அனுபவிக்கிறேன்.,"Loss of appetite and weight loss can be symptoms of liver cancer, especially when combined with other liver-related symptoms.",食欲不振和体重减轻可能是肝癌的症状，特别是与其他肝脏相关症状结合时。,"Kehilangan selera makan dan penurunan berat badan boleh menjadi gejala kanser hati, terutamanya apabila digabungkan dengan gejala berkaitan hati lain.","பசியின்மை மற்றும் எடை குறைப்பு கல்லீரல் புற்றுநோயின் அறிகுறிகளாக இருக்கலாம், குறிப்பாக பிற கல்லீரல் தொடர்பான அறிகுறிகளுடன் இணைந்தால்."
58,I have been diagnosed with HPV (Human Papillomavirus) infection or genital warts.,我被诊断出感染了HPV（人乳头瘤病毒）或生殖器疣。,Saya telah didiagnosis dengan jangkitan HPV (Human Papillomavirus) atau ketuat kelamin.,HPV (மனித பாப்பிலோமா வைரஸ்) தொற்று அல்லது பிறப்புறுப்பு மருக்கள் இருப்பதாக கண்டறியப்பட்டது.,HPV is the most important risk factor for cervical cancer. At least 15 HPV strains can cause cervical cancer.,HPV是宫颈癌最重要的风险因素。至少有15种HPV菌株会导致宫颈癌。,HPV adalah faktor risiko paling penting untuk kanser serviks. Sekurang-kurangnya 15 strain HPV boleh menyebabkan kanser serviks.,HPV கர்ப்பப்பை வாய் புற்றுநோய்க்கான மிக முக்கியமான ஆபத்து காரணி. குறைந்தது 15 HPV வகைகள் கர்ப்பப்பை வாய் புற்றுநோயை ஏற்படுத்தலாம்.
59,"I have abnormal vaginal bleeding (between periods, after sex, or after menopause).",我有异常阴道出血（月经之间、性交后或绝经后）。,"Saya mengalami pendarahan faraj yang tidak normal (antara haid, selepas hubungan seks, atau selepas menopaus).","அசாதாரண பிறப்புறுப்பு இரத்தப்போக்கு (மாதவிடாய்களுக்கு இடையில், உடலுறவுக்குப் பின் அல்லது மாதவிடாய் நிறுத்தத்திற்குப் பின்) உள்ளது.",Abnormal vaginal bleeding is a key warning sign of cervical cancer and requires immediate medical evaluation.,异常阴道出血是宫颈癌的关键警告信号，需要立即就医。,Pendarahan faraj yang tidak normal adalah tanda amaran utama kanser serviks dan memerlukan penilaian perubatan segera.,அசாதாரண பிறப்புறுப்பு இரத்தப்போக்கு கர்ப்பப்பை வாய் புற்றுநோயின் முக்கிய எச்சரிக்கை அறிகுறி மற்றும் உடனடி மருத்துவ மதிப்பீடு தேவை.
60,I have never had a Pap smear test or it has been more than 3 years since my last one.,我从未做过子宫颈抹片检查，或距离上次检查已超过3年。,Saya tidak pernah menjalani ujian Pap smear atau sudah lebih 3 tahun sejak ujian terakhir saya.,நான் ஒருபோதும் பாப் ஸ்மியர் சோதனை செய்யவில்லை அல்லது கடைசி சோதனைக்கு 3 வருடங்களுக்கு மேல் ஆகிவிட்டது.,Regular Pap smears can detect precancerous changes early. Women should have Pap smears every 3 years starting from age 25.,定期子宫颈抹片检查可以早期发现癌前变化。女性应从25岁开始每3年进行一次抹片检查。,Pap smear berkala boleh mengesan perubahan prakanser awal. Wanita perlu menjalani Pap smear setiap 3 tahun bermula dari umur 25 tahun.,வழக்கமான பாப் ஸ்மியர்கள் புற்றுநோய்க்கு முந்தைய மாற்றங்களை ஆரம்பத்தில் கண்டறியலாம். பெண்கள் 25 வயதிலிருந்து ஒவ்வொரு 3 வருடங்களுக்கும் பாப் ஸ்மியர் செய்ய வேண்டும்.
61,I have had multiple sexual partners or started sexual activity at a young age.,我有多个性伴侣或在年轻时开始性活动。,Saya mempunyai beberapa pasangan seksual atau memulakan aktiviti seksual pada usia muda.,எனக்கு பல பாலியல் பங்காளிகள் உள்ளனர் அல்லது இளம் வயதிலேயே பாலியல் செயல்பாட்டைத் தொடங்கினேன்.,"Multiple sexual partners or early sexual activity increases HPV exposure risk, which is linked to cervical cancer.",多个性伴侣或早期性活动会增加HPV暴露风险，这与宫颈癌有关。,"Beberapa pasangan seksual atau aktiviti seksual awal meningkatkan risiko pendedahan HPV, yang dikaitkan dengan kanser serviks.","பல பாலியல் பங்காளிகள் அல்லது ஆரம்ப பாலியல் செயல்பாடு HPV வெளிப்பாடு ஆபத்தை அதிகரிக்கிறது, இது கர்ப்பப்பை வாய் புற்றுநோயுடன் தொடர்புடையது."
62,I am a smoker or live with someone who smokes.,我是吸烟者或与吸烟者一起生活。,Saya seorang perokok atau tinggal dengan seseorang yang merokok.,நான் புகைபிடிப்பவன் அல்லது புகைபிடிக்கும் ஒருவருடன் வாழ்கிறேன்.,Smoking increases cervical cancer risk by damaging cervical cells and weakening the immune system's ability to fight HPV.,吸烟通过损害宫颈细胞和削弱免疫系统对抗HPV的能力来增加宫颈癌风险。,Merokok meningkatkan risiko kanser serviks dengan merosakkan sel serviks dan melemahkan keupayaan sistem imun untuk melawan HPV.,புகைபிடித்தல் கர்ப்பப்பை வாய் செல்களை சேதப்படுத்துவதன் மூலமும் HPV-க்கு எதிராக போராட நோயெதிர்ப்பு மண்டலத்தின் திறனை பலவீனப்படுத்துவதன் மூலமும் கர்ப்பப்பை வாய் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.
63,I have experienced unusual vaginal discharge with a foul odor.,我有异常阴道分泌物，有恶臭。,Saya mengalami keluar cecair faraj yang luar biasa dengan bau busuk.,துர்நாற்றத்துடன் அசாதாரண பிறப்புறுப்பு சுரப்பு அனுபவித்தேன்.,Unusual vaginal discharge can be a symptom of cervical cancer and should be evaluated by a doctor.,异常阴道分泌物可能是宫颈癌的症状，应由医生评估。,Keluar cecair faraj yang luar biasa boleh menjadi gejala kanser serviks dan perlu dinilai oleh doktor.,அசாதாரண பிறப்புறுப்பு சுரப்பு கர்ப்பப்பை வாய் புற்றுநோயின் அறிகுறியாக இருக்கலாம் மற்றும் மருத்துவரால் மதிப்பீடு செய்யப்பட வேண்டும்.
64,I have difficulty starting urination or have a weak urine stream.,我难以开始排尿或尿流较弱。,Saya mengalami kesukaran memulakan kencing atau mempunyai aliran air kencing yang lemah.,சிறுநீர் கழிப்பதைத் தொடங்குவதில் சிரமம் அல்லது பலவீனமான சிறுநீர் ஓட்டம் உள்ளது.,Difficulty urinating or weak urine stream can be symptoms of prostate problems including prostate cancer.,排尿困难或尿流弱可能是前列腺问题的症状，包括前列腺癌。,Kesukaran kencing atau aliran air kencing yang lemah boleh menjadi gejala masalah prostat termasuk kanser prostat.,சிறுநீர் கழிப்பதில் சிரமம் அல்லது பலவீனமான சிறுநீர் ஓட்டம் புரோஸ்டேட் புற்றுநோய் உட்பட புரோஸ்டேட் பிரச்சினைகளின் அறிகுறிகளாக இருக்கலாம்.
65,I have blood in my urine or semen.,我的尿液或精液中有血。,Saya mempunyai darah dalam air kencing atau air mani saya.,என் சிறுநீர் அல்லது விந்துவில் இரத்தம் உள்ளது.,Blood in urine or semen can be a warning sign of prostate cancer and requires medical evaluation.,尿液或精液中的血液可能是前列腺癌的警告信号，需要医疗评估。,Darah dalam air kencing atau air mani boleh menjadi tanda amaran kanser prostat dan memerlukan penilaian perubatan.,சிறுநீர் அல்லது விந்துவில் இரத்தம் புரோஸ்டேட் புற்றுநோயின் எச்சரிக்கை அறிகுறியாக இருக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.
66,I am a man aged 50 or older and have never had a prostate health check.,我是一名50岁或以上的男性，从未进行过前列腺健康检查。,Saya seorang lelaki berumur 50 tahun atau lebih dan tidak pernah menjalani pemeriksaan kesihatan prostat.,நான் 50 வயது அல்லது அதற்கு மேற்பட்ட ஆண் மற்றும் ஒருபோதும் புரோஸ்டேட் சுகாதார பரிசோதனை செய்யவில்லை.,"Men over 50 should discuss prostate screening with their doctor, especially if they have a family history of prostate cancer.",50岁以上的男性应与医生讨论前列腺筛查，特别是如果有前列腺癌家族史。,"Lelaki berumur lebih 50 tahun perlu berbincang tentang saringan prostat dengan doktor mereka, terutamanya jika mempunyai sejarah keluarga kanser prostat.","50 வயதுக்கு மேற்பட்ட ஆண்கள் புரோஸ்டேட் பரிசோதனை பற்றி தங்கள் மருத்துவரிடம் விவாதிக்க வேண்டும், குறிப்பாக புரோஸ்டேட் புற்றுநோய் குடும்ப வரலாறு இருந்தால்."
67,My father or brother has had prostate cancer.,我的父亲或兄弟患过前列腺癌。,Ayah atau abang saya pernah menghidap kanser prostat.,என் தந்தை அல்லது சகோதரருக்கு புரோஸ்டேட் புற்றுநோய் இருந்தது.,Family history of prostate cancer significantly increases your risk. You may need earlier screening.,前列腺癌家族史会显著增加您的风险。您可能需要更早筛查。,Sejarah keluarga kanser prostat meningkatkan risiko anda dengan ketara. Anda mungkin perlu saringan lebih awal.,புரோஸ்டேட் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கிறது. நீங்கள் முந்தைய பரிசோதனை தேவைப்படலாம்.
68,"I have frequent urination, especially at night.",我经常排尿，特别是在晚上。,"Saya kerap kencing, terutamanya pada waktu malam.","அடிக்கடி சிறுநீர் கழிக்கிறேன், குறிப்பாக இரவில்.","Frequent urination, especially at night, can be a symptom of prostate enlargement or prostate cancer.",频繁排尿，特别是在晚上，可能是前列腺肥大或前列腺癌的症状。,"Kencing kerap, terutamanya pada waktu malam, boleh menjadi gejala pembesaran prostat atau kanser prostat.","அடிக்கடி சிறுநீர் கழித்தல், குறிப்பாக இரவில், புரோஸ்டேட் விரிவாக்கம் அல்லது புரோஸ்டேட் புற்றுநோயின் அறிகுறியாக இருக்கலாம்."
69,"I have pain in my hips, back, or pelvis that doesn't go away.",我的臀部、背部或骨盆有持续不消的疼痛。,"Saya mengalami sakit di pinggul, belakang, atau pelvis yang tidak hilang.","என் இடுப்பு, முதுகு அல்லது இடுப்பெலும்பில் நீங்காத வலி உள்ளது.","Persistent bone pain in hips, back, or pelvis can indicate advanced prostate cancer that has spread to bones.",臀部、背部或骨盆的持续骨痛可能表明前列腺癌已扩散到骨骼。,"Sakit tulang berterusan di pinggul, belakang, atau pelvis boleh menunjukkan kanser prostat lanjutan yang telah merebak ke tulang.","இடுப்பு, முதுகு அல்லது இடுப்பெலும்பில் தொடர்ச்சியான எலும்பு வலி முன்னேறிய புரோஸ்டேட் புற்றுநோய் எலும்புகளுக்கு பரவியதை குறிக்கலாம்."
