id,prompt_en,prompt_zh,prompt_ms,prompt_ta,weight,yesValue,noValue,category,explanationYes_en,explanationYes_zh,explanationYes_ms,explanationYes_ta,explanationNo_en,explanationNo_zh,explanationNo_ms,explanationNo_ta,cancerType,minAge
1,"I've seen blood in my stool or had a big change in bowel habits, but I haven't seen a doctor.",我发现大便带血或排便习惯有很大变化，但我还没有去看医生。,"Saya melihat darah dalam najis atau perubahan besar dalam tabiat usus, tetapi saya belum berjumpa doktor.",மலத்தில் இரத்தம் அல்லது குடல் பழக்கங்களில் பெரிய மாற்றத்தைக் கண்டேன்- ஆனால் மருத்துவரை சந்திக்கவில்லை.,15,100,0,Medical History,These are potential warning signs. You must see a doctor to get them checked out.,这些是潜在的警告信号。您必须去看医生进行检查。,Ini adalah tanda amaran yang berpotensi. Anda mesti berjumpa doktor untuk memeriksanya.,இவை சாத்தியமான எச்சரிக்கை அறிகுறிகள். நீங்கள் மருத்துவரிடம் பரிசோதிக்க வேண்டும்.,,,,,colorectal,
2,"A doctor told me I had colon polyps in the past, but I've missed my follow-up appointment.",医生曾告诉我过去有结肠息肉，但我错过了复诊预约。,"Doktor memberitahu saya pernah mempunyai polip kolon, tetapi saya terlepas temu janji susulan.",மருத்துவர் முன்பு பெருங்குடல் பாலிப்கள் இருந்ததாகக் கூறினார்- ஆனால் தொடர்ந்து சந்திப்பை தவறவிட்டேன்.,10.14,100,0,Medical History,Past polyps increase your risk. Regular follow-ups are critical for prevention.,过去的息肉会增加您的风险。定期随访对于预防至关重要。,Polip yang lalu meningkatkan risiko anda. Susulan berkala adalah penting untuk pencegahan.,கடந்த கால பாலிப்கள் உங்கள் ஆபத்தை அதிகரிக்கின்றன. தொடர் பின்தொடர்தல் தடுப்புக்கு முக்கியம்.,,,,,colorectal,
3,"I have been diagnosed with Inflammatory Bowel Disease (IBD), like Crohn's or colitis.",我被诊断出患有炎症性肠病（IBD），如克罗恩病或结肠炎。,"Saya telah didiagnosis dengan Penyakit Radang Usus (IBD), seperti Crohn atau kolitis.",குரோன் அல்லது கோலிடிஸ் போன்ற அழற்சி குடல் நோய் (IBD) இருப்பதாக கண்டறியப்பட்டது.,10.14,100,0,Medical History,IBD significantly increases your risk. Regular screening is essential.,IBD会显著增加您的风险。定期筛查至关重要。,IBD meningkatkan risiko anda dengan ketara. Saringan berkala adalah penting.,IBD உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கிறது. வழக்கமான பரிசோதனை அவசியம்.,,,,,colorectal,
4,I was given a take-home screening kit (like a FIT kit) but I haven't sent it back.,我收到了一个家用筛查套件（如FIT套件），但我还没有寄回。,Saya diberi kit saringan bawa pulang (seperti kit FIT) tetapi saya belum menghantarnya kembali.,வீட்டில் செய்யக்கூடிய பரிசோதனை கிட் (FIT கிட் போன்றது) கொடுக்கப்பட்டது- ஆனால் திருப்பி அனுப்பவில்லை.,10.14,100,0,Medical History,The best test is the one that gets done! Screening is the #1 way to catch CRC early.,最好的检查就是完成的检查！筛查是早期发现CRC的首要方法。,Ujian terbaik adalah yang dilakukan! Saringan adalah cara #1 untuk mengesan CRC awal.,சிறந்த சோதனை செய்யப்படுவதுதான்! CRC-ஐ ஆரம்பத்தில் கண்டறிய பரிசோதனை முதல் வழி.,,,,,colorectal,
5,I am 45 or older and have *not* had my first colorectal cancer screening.,我已经45岁或以上，但还没有进行第一次结直肠癌筛查。,Saya berumur 45 tahun atau lebih dan *belum* menjalani saringan kanser kolorektal pertama.,நான் 45 வயது அல்லது அதற்கு மேல் இருக்கிறேன் மற்றும் முதல் பெருங்குடல் புற்றுநோய் பரிசோதனை செய்யவில்லை.,10.14,100,0,Medical History,Screening is recommended to start at age 45. It's the most effective way to prevent CRC.,建议从45岁开始筛查。这是预防CRC最有效的方法。,Saringan disyorkan bermula pada umur 45 tahun. Ini adalah cara paling berkesan untuk mencegah CRC.,45 வயதில் பரிசோதனை தொடங்க பரிந்துரைக்கப்படுகிறது. CRC-ஐ தடுக்க மிகவும் பயனுள்ள வழி இது.,,,,,colorectal,45
6,I am a current smoker.,我目前是吸烟者。,Saya seorang perokok semasa.,நான் தற்போது புகைபிடிப்பவன்.,5.41,100,0,Lifestyle,"Smoking increases the risk of many cancers, including colorectal cancer.",吸烟会增加许多癌症的风险，包括结直肠癌。,"Merokok meningkatkan risiko banyak kanser, termasuk kanser kolorektal.",புகைபிடித்தல் பெருங்குடல் புற்றுநோய் உட்பட பல புற்றுநோய்களின் ஆபத்தை அதிகரிக்கிறது.,,,,,colorectal,
7,I drink more than one alcoholic beverage per day on average.,我平均每天喝超过一杯酒精饮料。,Saya minum lebih daripada satu minuman beralkohol sehari secara purata.,சராசரியாக நாளொன்றுக்கு ஒன்றுக்கு மேற்பட்ட மது பானங்கள் குடிக்கிறேன்.,5.41,100,0,Lifestyle,Heavy or regular alcohol use is a known risk factor for CRC.,大量或经常饮酒是CRC的已知风险因素。,Penggunaan alkohol berat atau kerap adalah faktor risiko yang diketahui untuk CRC.,அதிக அல்லது வழக்கமான மது பயன்பாடு CRC-க்கான அறியப்பட்ட ஆபத்து காரணி.,,,,,colorectal,
8,"I eat processed meats (like hot dogs, bacon, or ham) most weeks.",我大多数星期都吃加工肉类（如热狗、培根或火腿）。,"Saya makan daging proses (seperti hot dog, bacon, atau ham) kebanyakan minggu.",பெரும்பாலான வாரங்களில் பதப்படுத்தப்பட்ட இறைச்சிகள் (ஹாட் டாக்- பேகன் அல்லது ஹாம் போன்றவை) சாப்பிடுகிறேன்.,5.41,100,0,Diet & Nutrition,Processed meats are strongly linked to an increased risk of colorectal cancer.,加工肉类与结直肠癌风险增加密切相关。,Daging proses sangat dikaitkan dengan peningkatan risiko kanser kolorektal.,பதப்படுத்தப்பட்ட இறைச்சிகள் பெருங்குடல் புற்றுநோய் ஆபத்து அதிகரிப்புடன் வலுவாக தொடர்புடையவை.,,,,,colorectal,
9,I eat red meat (like beef or lamb) more than 3 times per week.,我每周吃红肉（如牛肉或羊肉）超过3次。,Saya makan daging merah (seperti daging lembu atau kambing) lebih daripada 3 kali seminggu.,வாரத்திற்கு 3 முறைக்கு மேல் சிவப்பு இறைச்சி (மாட்டிறைச்சி அல்லது ஆட்டிறைச்சி போன்றவை) சாப்பிடுகிறேன்.,5.41,100,0,Diet & Nutrition,High red meat consumption can increase your risk. Try swapping in fish or chicken.,大量食用红肉会增加您的风险。尝试用鱼或鸡肉替代。,Pengambilan daging merah yang tinggi boleh meningkatkan risiko anda. Cuba ganti dengan ikan atau ayam.,அதிக சிவப்பு இறைச்சி நுகர்வு உங்கள் ஆபத்தை அதிகரிக்கலாம். மீன் அல்லது கோழியை மாற்றி முயற்சிக்கவும்.,,,,,colorectal,
10,I am mostly sedentary and get less than 30 minutes of intentional exercise most days.,我大部分时间久坐不动，大多数日子有意识的运动时间少于30分钟。,Saya kebanyakannya tidak aktif dan mendapat kurang daripada 30 minit senaman yang disengajakan kebanyakan hari.,நான் பெரும்பாலும் உட்கார்ந்தே இருக்கிறேன் மற்றும் பெரும்பாலான நாட்களில் 30 நிமிடங்களுக்கும் குறைவான உடற்பயிற்சி செய்கிறேன்.,5.415,100,0,Lifestyle,A sedentary lifestyle is a key risk factor. Regular activity helps keep your colon healthy.,久坐的生活方式是一个关键的风险因素。定期活动有助于保持结肠健康。,Gaya hidup tidak aktif adalah faktor risiko utama. Aktiviti tetap membantu mengekalkan kesihatan kolon anda.,உட்கார்ந்த வாழ்க்கை முறை முக்கிய ஆபத்து காரணி. வழக்கமான செயல்பாடு உங்கள் பெருங்குடலை ஆரோக்கியமாக வைத்திருக்க உதவுகிறது.,,,,,colorectal,
11,"I rarely eat high-fiber foods like fruits, vegetables, or whole grains.",我很少吃高纤维食物，如水果、蔬菜或全谷物。,"Saya jarang makan makanan tinggi serat seperti buah-buahan, sayur-sayuran, atau bijirin penuh.",பழங்கள்- காய்கறிகள் அல்லது முழு தானியங்கள் போன்ற அதிக நார்ச்சத்து உணவுகளை அரிதாகவே சாப்பிடுகிறேன்.,5.415,100,0,Diet & Nutrition,Fiber is crucial for a healthy colon. It helps move waste through your system.,纤维对健康的结肠至关重要。它有助于将废物通过您的系统移动。,Serat adalah penting untuk kolon yang sihat. Ia membantu menggerakkan sisa melalui sistem anda.,நார்ச்சத்து ஆரோக்கியமான பெருங்குடலுக்கு முக்கியமானது. கழிவுகளை உங்கள் அமைப்பு வழியாக நகர்த்த உதவுகிறது.,,,,,colorectal,
12,I am currently overweight.,我目前超重。,Saya kini mempunyai berat badan berlebihan.,நான் தற்போது அதிக எடையுடன் இருக்கிறேன்.,5.415,100,0,Lifestyle,Being overweight or obese increases your risk of developing colorectal cancer.,超重或肥胖会增加患结直肠癌的风险。,Berat badan berlebihan atau obes meningkatkan risiko anda untuk menghidap kanser kolorektal.,அதிக எடை அல்லது உடல் பருமன் பெருங்குடல் புற்றுநோய் உருவாகும் ஆபத்தை அதிகரிக்கிறது.,,,,,colorectal,
13,I have been diagnosed with Type 2 diabetes.,我被诊断出患有2型糖尿病。,Saya telah didiagnosis dengan diabetes Jenis 2.,வகை 2 நீரிழிவு நோய் இருப்பதாக கண்டறியப்பட்டது.,5.415,100,0,Medical History,Type 2 diabetes has been linked to an increased risk of colorectal cancer.,2型糖尿病与结直肠癌风险增加有关。,Diabetes Jenis 2 telah dikaitkan dengan peningkatan risiko kanser kolorektal.,வகை 2 நீரிழிவு பெருங்குடல் புற்றுநோய் ஆபத்து அதிகரிப்புடன் தொடர்புடையது.,,,,,colorectal,
14,I usually choose white bread and white rice over whole-grain options.,我通常选择白面包和白米饭而不是全谷物选项。,Saya biasanya memilih roti putih dan nasi putih berbanding pilihan bijirin penuh.,முழு தானிய விருப்பங்களை விட வெள்ளை ரொட்டி மற்றும் வெள்ளை அரிசியை தேர்வு செய்கிறேன்.,1.925,100,0,Diet & Nutrition,"Whole grains contain more fiber, which is important for colon health.",全谷物含有更多纤维，这对结肠健康很重要。,"Bijirin penuh mengandungi lebih banyak serat, yang penting untuk kesihatan kolon.",முழு தானியங்களில் அதிக நார்ச்சத்து உள்ளது- இது பெருங்குடல் ஆரோக்கியத்திற்கு முக்கியம்.,,,,,colorectal,
15,"I often cook my food using high-heat methods like charring, grilling, or barbecuing.",我经常使用高温方法烹饪食物，如烤焦、烧烤或烧烤。,"Saya sering memasak makanan menggunakan kaedah haba tinggi seperti memanggang, membakar, atau barbeku.",அதிக வெப்ப முறைகளான கருக்குதல்- கிரில்லிங் அல்லது பார்பிக்யூ மூலம் உணவு சமைக்கிறேன்.,2.035,100,0,Diet & Nutrition,Some studies suggest high-heat cooking may create chemicals linked to cancer risk.,一些研究表明高温烹饪可能会产生与癌症风险相关的化学物质。,Beberapa kajian mencadangkan memasak dengan haba tinggi mungkin mencipta bahan kimia yang dikaitkan dengan risiko kanser.,சில ஆய்வுகள் அதிக வெப்ப சமையல் புற்றுநோய் ஆபத்துடன் தொடர்புடைய இரசாயனங்களை உருவாக்கலாம் என்று கூறுகின்றன.,,,,,colorectal,
16,"I am under 45, and I have *never* discussed my personal CRC risk with a doctor.",我不到45岁，而且从未与医生讨论过我个人的CRC风险。,Saya berumur bawah 45 tahun dan *tidak pernah* membincangkan risiko CRC peribadi saya dengan doktor.,நான் 45 வயதுக்கு கீழ் இருக்கிறேன் மற்றும் என் தனிப்பட்ட CRC ஆபத்தை மருத்துவரிடம் ஒருபோதும் விவாதிக்கவில்லை.,2.035,100,0,Medical History,"It's never too early to know your risk, especially if you have a family history.",了解您的风险永远不会太早，特别是如果您有家族史。,"Tidak pernah terlalu awal untuk mengetahui risiko anda, terutamanya jika anda mempunyai sejarah keluarga.",உங்கள் ஆபத்தை அறிய எப்போதும் தாமதமில்லை- குறிப்பாக குடும்ப வரலாறு இருந்தால்.,,,,,colorectal,45
17,I feel a lump on my breast.,我在乳房上感觉到一个肿块。,Saya rasa ketulan pada payudara saya.,என் மார்பில் கட்டி உணர்கிறேன்.,65.22,100,0,Medical History,Lump does not mean it is cancerous but it is still safer to get a check on it AS SOON AS POSSIBLE,肿块并不意味着它是癌性的，但尽快检查仍然更安全,Ketulan tidak bermakna ia adalah kanser tetapi masih lebih selamat untuk memeriksanya SECEPAT MUNGKIN,கட்டி புற்றுநோய் என்று அர்த்தமில்லை ஆனால் உடனடியாக பரிசோதிப்பது பாதுகாப்பானது,,,,,breast,
18,I have been coughing blood.,我一直在咳血。,Saya telah batuk darah.,இரத்தம் இருமுகிறேன்.,27.78,100,0,Medical History,Coughing blood is not something good.,咳血不是什么好事。,Batuk darah bukan sesuatu yang baik.,இரத்தம் இருமுவது நல்லதல்ல.,,,,,Lung,
19,I am having breathing difficulty.,我呼吸困难。,Saya mengalami kesukaran bernafas.,சுவாசிக்க சிரமப்படுகிறேன்.,27.78,100,0,Lifestyle,Lungs play a big part in breathing.,肺在呼吸中起着重要作用。,Paru-paru memainkan peranan besar dalam pernafasan.,நுரையீரல்கள் சுவாசத்தில் முக்கிய பங்கு வகிக்கின்றன.,,,,,Lung,
20,I have family members who smoke at home.,我家里有吸烟的家庭成员。,Saya mempunyai ahli keluarga yang merokok di rumah.,வீட்டில் புகைபிடிக்கும் குடும்ப உறுப்பினர்கள் உள்ளனர்.,14.81,100,0,Lifestyle,Secondhand smoke increases risk for non-smokers by 20-30% for lung cancer.,二手烟使非吸烟者患肺癌的风险增加20-30%。,Asap rokok terpakai meningkatkan risiko bukan perokok sebanyak 20-30% untuk kanser paru-paru.,இரண்டாம் நிலை புகை புகைபிடிக்காதவர்களுக்கு நுரையீரல் புற்றுநோய் ஆபத்தை 20-30% அதிகரிக்கிறது.,,,,,Lung,
21,My mother/sister have breast cancer.,我的母亲/姐妹患有乳腺癌。,Ibu/kakak saya menghidap kanser payudara.,என் தாய்/சகோதரிக்கு மார்பக புற்றுநோய் உள்ளது.,34.78,100,0,Family & Genetics,"Having a mother, sister, or daughter with breast cancer raises your risk.",母亲、姐妹或女儿患乳腺癌会增加您的风险。,"Mempunyai ibu, kakak, atau anak perempuan dengan kanser payudara meningkatkan risiko anda.",தாய்- சகோதரி அல்லது மகளுக்கு மார்பக புற்றுநோய் இருப்பது உங்கள் ஆபத்தை அதிகரிக்கிறது.,,,,,breast,
22,I am over 50 years old and have not been to any check up.,我已经50岁以上，还没有进行任何检查。,Saya berumur lebih 50 tahun dan belum pergi ke sebarang pemeriksaan.,நான் 50 வயதுக்கு மேல் இருக்கிறேன் மற்றும் எந்த பரிசோதனையும் செய்யவில்லை.,14.81,100,0,Lifestyle,Everyone should go for a full body check up at least once per year.,每个人每年至少应该进行一次全身检查。,Semua orang harus pergi untuk pemeriksaan badan penuh sekurang-kurangnya sekali setahun.,ஒவ்வொருவரும் ஆண்டுக்கு ஒரு முறையாவது முழு உடல் பரிசோதனை செய்ய வேண்டும்.,,,,,Lung,50
23,Have you ever been diagnosed with an HPV infection or genital warts?,您是否曾被诊断出HPV感染或生殖器疣？,Pernahkah anda didiagnosis dengan jangkitan HPV atau ketuat kelamin?,HPV தொற்று அல்லது பிறப்புறுப்பு மருக்கள் இருப்பதாக கண்டறியப்பட்டதா?,100,100,10,Lifestyle,"Infection by the HPV is the most important risk factor for cervical cancer. At least 15 of the HPV strains causes cervical cancer. It is a skin infection, spread through skin-to-skin contact",HPV感染是宫颈癌最重要的风险因素。至少有15种HPV菌株会导致宫颈癌。这是一种皮肤感染，通过皮肤接触传播,"Jangkitan HPV adalah faktor risiko paling penting untuk kanser serviks. Sekurang-kurangnya 15 strain HPV menyebabkan kanser serviks. Ia adalah jangkitan kulit, disebarkan melalui sentuhan kulit ke kulit",HPV தொற்று கர்ப்பப்பை வாய் புற்றுநோய்க்கான மிக முக்கியமான ஆபத்து காரணி. குறைந்தது 15 HPV வகைகள் கர்ப்பப்பை வாய் புற்றுநோயை ஏற்படுத்துகின்றன. இது தோல் தொற்று- தோலிலிருந்து தோலுக்கு தொடர்பு மூலம் பரவுகிறது,,,,,cervical,
24,I am a current smoker.,我目前是吸烟者。,Saya seorang perokok semasa.,நான் தற்போது புகைபிடிப்பவன்.,14.81,100,0,Lifestyle,Smoking increases the risk of having lung cancer.,吸烟会增加患肺癌的风险。,Merokok meningkatkan risiko menghidap kanser paru-paru.,புகைபிடித்தல் நுரையீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,,,,,Lung,
25,I drink alcohol everyday.,我每天喝酒。,Saya minum alkohol setiap hari.,நான் தினமும் மது அருந்துகிறேன்.,100,100,0,Diet & Nutrition,"Drinking alcohol increases liver cancer risk primarily because the liver converts ethanol into acetaldehyde, a toxic chemical that damages DNA and proteins, while also causing oxidative stress, inflammation, and scarring (cirrhosis), creating an environment ripe for cancerous cell changes.",饮酒会增加肝癌风险，主要是因为肝脏将乙醇转化为乙醛，这是一种有毒化学物质，会损害DNA和蛋白质，同时还会引起氧化应激、炎症和疤痕（肝硬化），为癌细胞变化创造成熟的环境。,"Minum alkohol meningkatkan risiko kanser hati terutamanya kerana hati menukar etanol kepada asetaldehid, bahan kimia toksik yang merosakkan DNA dan protein, sambil juga menyebabkan tekanan oksidatif, keradangan, dan parut (sirosis), mewujudkan persekitaran yang sesuai untuk perubahan sel kanser.",மது அருந்துவது கல்லீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது- முக்கியமாக கல்லீரல் எத்தனாலை அசிடால்டிஹைடாக மாற்றுவதால்- இது DNA மற்றும் புரதங்களை சேதப்படுத்தும் நச்சு இரசாயனம்- ஆக்சிஜனேற்ற அழுத்தம்- வீக்கம் மற்றும் தழும்பு (சிரோசிஸ்) ஏற்படுத்துகிறது.,,,,,liver,
26,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
27,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
28,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
29,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
30,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
31,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
32,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
33,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
34,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
35,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
36,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
37,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
38,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
39,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
40,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
41,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
42,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
43,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
44,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
45,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
